vendor_id,vendor_name,industry,country,region_risk,annual_spend_usd,contract_value_usd,relationship_years,data_access_level,business_criticality,financial_health_score,security_certification,compliance_incidents_3yr,sla_breach_count_1yr,on_time_delivery_rate,subcontractor_use,insurance_adequate,sanctions_screening,last_assessment_days_ago,risk_tier,predicted_tier,risk_score_0_100,p_low,p_medium,p_high
VEN20037,Meridian Industries 2,Cloud/SaaS,China,High,297600.0,934600.0,0.2,Full,High,84.5,Not Certified,1,2,0.991,Yes,Yes,Clear,139,High,High,60.0,0.2286,0.3429,0.4285
VEN20038,Redwood Partners 2,Payment Processing,Canada,Low,21500.0,72000.0,10.8,No Access,Medium,62.8,SOC2,1,1,0.965,No,Yes,Clear,253,Low,Low,14.1,0.7805,0.1576,0.0619
VEN20039,Beacon Labs,Cloud/SaaS,Canada,Low,16200.0,31500.0,2.0,No Access,Medium,65.9,SOC2,1,0,0.935,Yes,Yes,Clear,66,Low,Low,23.1,0.6075,0.3229,0.0696
VEN20040,Clearway Group,IT Services,Philippines,Medium,81900.0,70300.0,11.3,Full,Low,79.0,Not Certified,0,0,0.951,No,Yes,Clear,5,Low,Low,21.9,0.6509,0.26,0.0891
VEN20041,Trailhead Dynamics,Cloud/SaaS,Venezuela,High,318400.0,766300.0,2.7,No Access,Medium,69.3,Not Certified,0,0,0.934,No,Yes,Clear,183,Low,Medium,45.7,0.2802,0.525,0.1948
VEN20042,Vantage Systems,Logistics,Russia,High,96800.0,236000.0,1.3,No Access,High,76.2,SOC2,0,1,0.925,No,Yes,Clear,22,High,Low,49.6,0.339,0.3297,0.3313
VEN20043,Keystone Global,Financial Services,Philippines,Medium,146800.0,365300.0,2.9,Limited,Low,58.9,SOC2,0,1,0.877,Yes,Yes,Clear,36,Medium,Medium,38.1,0.2976,0.6429,0.0595
VEN20044,Summit Solutions,Payment Processing,China,High,123500.0,239300.0,1.7,No Access,Low,70.5,Both,0,0,0.975,No,Yes,Clear,12,Low,Low,19.9,0.658,0.2853,0.0567
VEN20045,Clearway Logistics,Marketing & Media,Venezuela,High,137500.0,361000.0,6.7,No Access,Low,56.8,ISO27001,1,0,0.941,No,Yes,Clear,331,High,Medium,45.5,0.2901,0.5104,0.1995
VEN20046,Waypoint Systems,Logistics,India,Medium,60800.0,86200.0,1.7,Limited,Low,50.3,SOC2,0,0,0.926,No,Yes,Clear,672,Medium,Medium,43.6,0.2631,0.6017,0.1352
VEN20047,Meridian Co.,IT Services,United States,Low,123000.0,359300.0,2.0,Limited,Low,96.7,Not Certified,0,0,0.906,No,Yes,Clear,344,Low,Low,16.7,0.7015,0.2637,0.0348
VEN20048,Silverline Consulting,Cloud/SaaS,South Africa,Medium,155500.0,575200.0,6.7,Limited,High,78.5,Not Certified,0,0,0.923,Yes,Yes,Clear,327,High,High,78.0,0.1051,0.2302,0.6647
VEN20049,Sterling Dynamics,Consulting,Germany,Low,62600.0,148300.0,3.8,Limited,Low,84.9,ISO27001,0,1,0.85,No,Yes,Clear,440,Low,Low,15.9,0.73,0.2216,0.0483
VEN20050,Apex Labs,Financial Services,United Kingdom,Low,485800.0,1119200.0,5.1,Limited,Low,58.5,SOC2,1,1,0.922,No,Yes,Clear,32,Low,Low,13.2,0.7728,0.1906,0.0367
VEN20051,Momentum Group,Marketing & Media,India,Medium,21000.0,58400.0,3.6,No Access,Low,71.7,ISO27001,0,2,0.882,No,Yes,Clear,1098,Medium,Medium,38.9,0.2772,0.6683,0.0545
VEN20052,Cascade Networks,IT Services,United States,Low,45600.0,123600.0,4.1,Limited,Low,69.2,Not Certified,0,1,1.0,No,Yes,Clear,9,Low,Low,13.9,0.7581,0.2061,0.0358
VEN20053,Horizon Logistics,IT Services,United States,Low,27000.0,73600.0,1.4,Limited,Medium,52.2,Both,0,0,0.883,No,Yes,Clear,130,Low,Low,26.7,0.5911,0.2846,0.1242
VEN20054,Horizon Technologies,Payment Processing,United Kingdom,Low,240700.0,584600.0,6.0,No Access,Medium,79.7,SOC2,1,1,0.913,No,Yes,Clear,91,Low,Low,20.0,0.6645,0.2706,0.0649
VEN20055,Meridian Group,Facilities & Maintenance,India,Medium,246100.0,500800.0,1.6,Limited,Low,62.0,SOC2,0,1,0.941,Yes,Yes,Clear,214,Low,Low,25.2,0.578,0.3399,0.0821
VEN20056,Sterling Labs,Logistics,Philippines,Medium,30100.0,106700.0,0.8,No Access,Medium,69.2,ISO27001,0,0,0.987,No,Yes,Clear,35,Low,Low,25.3,0.6334,0.2274,0.1393
VEN20057,Horizon Logistics 2,Logistics,Nigeria,High,77300.0,99600.0,1.4,Full,Medium,50.8,ISO27001,0,0,0.967,No,Yes,Clear,522,High,High,83.0,0.0799,0.1799,0.7402
VEN20058,Nova Partners,IT Services,Brazil,Medium,42300.0,134500.0,3.5,No Access,Low,86.0,ISO27001,0,0,0.941,Yes,Yes,Clear,190,Low,Low,15.3,0.729,0.2363,0.0346
VEN20059,Trailhead Solutions,Cloud/SaaS,Nigeria,High,14900.0,23300.0,0.4,No Access,High,82.7,Not Certified,0,0,1.0,No,Yes,Clear,207,Medium,Medium,45.1,0.1971,0.7037,0.0992
VEN20060,Bridgeline Labs,IT Services,Mexico,Medium,28100.0,74500.0,0.7,Full,Medium,77.6,Not Certified,1,2,0.939,No,Yes,Clear,70,High,High,75.1,0.1495,0.1986,0.652
VEN20061,Keystone Enterprises,Payment Processing,Philippines,Medium,103400.0,153800.0,7.0,Full,Low,59.3,SOC2,2,1,0.959,No,Yes,Clear,233,Medium,Medium,40.2,0.2968,0.6021,0.101
VEN20062,Apex Group,Financial Services,India,Medium,135000.0,135500.0,0.4,Full,High,64.5,ISO27001,0,2,1.0,No,Yes,Clear,551,High,High,83.5,0.1043,0.1205,0.7752
VEN20063,Fulcrum Systems,IT Services,United States,Low,30700.0,43600.0,6.7,Limited,Medium,89.2,ISO27001,0,1,0.887,No,Yes,Clear,393,Low,Low,15.2,0.7492,0.1984,0.0524
VEN20064,Outpost Global,Staffing,United States,Low,70600.0,103800.0,1.6,Limited,Low,68.2,SOC2,0,2,0.997,No,Yes,Clear,357,Low,Low,14.2,0.741,0.2344,0.0246
VEN20065,Outpost Consulting,Cloud/SaaS,Philippines,Medium,181500.0,607200.0,1.9,Limited,Low,75.8,ISO27001,0,0,0.966,Yes,Yes,Clear,164,Low,Low,25.2,0.5721,0.352,0.0758
VEN20066,Momentum Global,IT Services,Canada,Low,343100.0,606400.0,13.4,Limited,Low,74.0,ISO27001,0,1,0.862,No,Yes,Clear,358,Low,Low,20.4,0.6428,0.3067,0.0505
VEN20067,Fulcrum Labs,Facilities & Maintenance,Brazil,Medium,105500.0,177800.0,2.4,Limited,Low,56.4,ISO27001,0,1,0.903,No,Yes,Clear,620,High,High,60.1,0.2523,0.2929,0.4549
VEN20068,Vertex Dynamics,Payment Processing,Australia,Low,28000.0,40900.0,0.8,Full,Low,93.4,Both,0,0,0.99,Yes,Yes,Clear,281,Low,Low,12.0,0.7809,0.1992,0.0199
VEN20069,Anchor Holdings,IT Services,United States,Low,11700.0,26100.0,0.5,No Access,Low,44.3,SOC2,0,1,0.854,Yes,Yes,Clear,24,Low,Low,13.3,0.7718,0.1904,0.0379
VEN20070,Beacon Consulting,Staffing,India,Medium,76600.0,171200.0,6.5,Full,High,,ISO27001,0,0,0.929,No,Yes,Clear,150,Medium,Medium,49.7,0.2201,0.5667,0.2132
VEN20071,Trailhead Labs,Cloud/SaaS,Japan,Low,49800.0,134900.0,2.3,No Access,Medium,70.8,Both,0,1,0.996,No,Yes,Clear,391,Low,Low,9.9,0.8229,0.1559,0.0212
VEN20072,Zenith Group,IT Services,United States,Low,36500.0,61600.0,1.3,No Access,Low,49.4,Not Certified,0,0,0.926,Yes,Yes,Clear,87,Low,Low,16.8,0.7052,0.253,0.0417
VEN20073,Beacon Global,IT Services,United Kingdom,Low,32300.0,41100.0,11.0,Full,Low,76.7,Both,0,0,0.956,No,No,Clear,364,Low,Low,17.5,0.6983,0.2528,0.0488
VEN20074,Apex Logistics,Logistics,United Kingdom,Low,37400.0,82200.0,0.2,No Access,Low,79.3,SOC2,1,0,0.9,No,Yes,Clear,43,Low,Low,9.0,0.8416,0.1375,0.0209
VEN20075,Summit Systems 2,Staffing,Germany,Low,84800.0,250800.0,4.6,Limited,Low,72.8,ISO27001,0,2,0.903,No,Yes,Flagged,408,Medium,High,57.3,0.3025,0.2492,0.4482
VEN20076,Silverline Enterprises,Financial Services,Poland,Medium,153800.0,439300.0,0.7,Full,Medium,60.5,Not Certified,0,0,0.903,No,Yes,Clear,104,High,High,64.6,0.23,0.2489,0.5211
VEN20077,Trailhead Enterprises,Payment Processing,United States,Low,28000.0,40500.0,4.0,Limited,Medium,78.4,Not Certified,2,2,0.919,No,Yes,Clear,49,Medium,Medium,49.5,0.2114,0.5882,0.2005
VEN20078,Silverline Group,Cloud/SaaS,Japan,Low,594800.0,1097600.0,0.3,Limited,High,87.7,Not Certified,0,1,0.978,No,Yes,Clear,68,Medium,Medium,38.7,0.3157,0.5954,0.0889
VEN20079,Atlas Dynamics,Logistics,Mexico,Medium,360600.0,908800.0,2.9,Limited,Low,75.2,ISO27001,0,1,0.945,No,Yes,Clear,73,Low,Low,17.2,0.6971,0.2613,0.0416
VEN20080,Zenith Labs,Cloud/SaaS,Nigeria,High,53800.0,95700.0,0.2,Full,Medium,96.2,Not Certified,0,0,1.0,No,Yes,Clear,109,Medium,High,50.7,0.3502,0.2854,0.3643
VEN20081,Crestview Technologies,Consulting,United States,Low,101400.0,112600.0,4.2,Full,Medium,84.1,SOC2,0,1,0.973,Yes,No,Clear,294,Low,Low,41.7,0.4022,0.3617,0.2361
VEN20082,Lighthouse Technologies,Consulting,United States,Low,403200.0,970600.0,0.4,No Access,Low,82.8,ISO27001,0,3,0.957,Yes,Yes,Clear,239,Low,Low,7.6,0.8664,0.1152,0.0184
VEN20083,Nova Technologies,Logistics,Canada,Low,25200.0,49400.0,3.8,No Access,Medium,91.5,Not Certified,0,1,1.0,No,No,Clear,18,Low,Low,11.0,0.8285,0.124,0.0476
VEN20084,Union Enterprises,Manufacturing,Canada,Low,35400.0,88100.0,1.9,No Access,Low,62.8,Not Certified,1,0,0.933,No,Yes,Clear,151,Low,Low,15.9,0.7191,0.2429,0.0381
VEN20085,Nova Holdings,Logistics,United States,Low,35700.0,104900.0,0.3,No Access,Low,64.8,Both,0,0,0.892,No,Yes,Clear,59,Low,Low,8.9,0.8455,0.1303,0.0242
VEN20086,Redwood Global,Staffing,United States,Low,22600.0,41800.0,11.4,Full,Low,79.3,Not Certified,0,0,0.949,No,Yes,Clear,114,Low,Low,14.6,0.7501,0.2073,0.0426
VEN20087,Summit Industries,IT Services,Canada,Low,161700.0,214800.0,3.5,Full,High,79.3,SOC2,1,1,0.875,Yes,Yes,Clear,553,High,Low,47.4,0.3586,0.334,0.3074
VEN20088,Pinnacle Partners,IT Services,Canada,Low,55900.0,91300.0,4.7,No Access,Low,93.2,SOC2,0,0,0.971,No,Yes,Clear,70,Low,Low,5.1,0.9033,0.0909,0.0058
VEN20089,Redwood Solutions,Manufacturing,Australia,Low,80300.0,231200.0,4.8,No Access,High,88.1,Both,0,0,1.0,No,Yes,Clear,38,Low,Low,7.2,0.8776,0.0999,0.0225
VEN20090,Beacon Consulting 2,Cloud/SaaS,Mexico,Medium,78800.0,183700.0,8.1,No Access,Low,74.5,ISO27001,0,0,0.978,No,Yes,Flagged,294,Medium,Low,44.6,0.4326,0.2428,0.3246
VEN20091,Keystone Technologies,Payment Processing,Germany,Low,57200.0,164800.0,1.0,Limited,Low,75.2,SOC2,0,2,0.916,No,No,Clear,269,Medium,Medium,32.9,0.3944,0.5527,0.0529
VEN20092,Vertex Labs,Staffing,United States,Low,403300.0,795000.0,7.4,Full,High,68.3,Not Certified,0,1,0.931,No,No,Clear,475,Medium,Medium,52.5,0.1435,0.6635,0.193
VEN20093,Keystone Dynamics,Facilities & Maintenance,United States,Low,59500.0,169700.0,1.3,Limited,Medium,67.0,Both,2,2,0.969,Yes,Yes,Clear,298,Medium,Medium,43.3,0.2689,0.5967,0.1344
VEN20094,Sterling Group,Marketing & Media,United Kingdom,Low,27100.0,50500.0,4.5,Limited,Low,65.8,SOC2,0,0,1.0,Yes,Yes,Clear,132,Low,Low,14.3,0.736,0.2411,0.0228
VEN20095,Waypoint Systems 2,Marketing & Media,Canada,Low,15000.0,26000.0,0.4,Full,High,84.8,Both,1,0,0.916,No,No,Clear,288,Medium,Medium,46.3,0.2136,0.6464,0.14
VEN20096,Nova Technologies 2,Staffing,Australia,Low,33200.0,74700.0,0.2,Full,Medium,65.6,ISO27001,0,0,0.915,No,Yes,Clear,41,Low,Low,25.3,0.6325,0.2293,0.1382
VEN20097,Vertex Enterprises,Consulting,South Africa,Medium,89000.0,191800.0,0.5,No Access,Low,67.2,SOC2,0,2,1.0,No,Yes,Clear,56,Low,Low,11.8,0.8008,0.1621,0.0372
VEN20098,Sterling Systems,Cloud/SaaS,Philippines,Medium,87500.0,180400.0,0.9,Limited,Medium,74.4,Both,0,1,0.953,Yes,Yes,Clear,16,Low,Low,37.5,0.4387,0.3724,0.1889
VEN20099,Crestview Holdings,Facilities & Maintenance,Canada,Low,99800.0,229300.0,5.3,Full,Medium,65.0,ISO27001,1,0,0.961,Yes,Yes,Clear,455,Medium,Medium,46.9,0.3476,0.3673,0.285
VEN20100,Nova Industries,Cloud/SaaS,United States,Low,44800.0,135700.0,3.1,Full,Low,69.0,SOC2,2,0,0.969,No,Yes,Clear,78,Low,Low,19.0,0.6756,0.2684,0.056
VEN20101,Momentum Co.,Manufacturing,United States,Low,118600.0,203000.0,0.2,Limited,Medium,41.7,ISO27001,1,0,0.894,No,Yes,Clear,78,Low,Low,36.4,0.4982,0.2745,0.2272
VEN20102,Momentum Technologies,Staffing,Japan,Low,121200.0,101500.0,16.3,No Access,High,77.5,Not Certified,1,0,0.931,No,Yes,Clear,57,Low,Low,19.8,0.6807,0.2419,0.0774
VEN20103,Vantage Co.,Payment Processing,Germany,Low,18400.0,47700.0,4.0,Limited,Medium,68.0,SOC2,1,0,1.0,No,Yes,Clear,62,Low,Low,14.6,0.7655,0.178,0.0565
VEN20104,Keystone Labs,Staffing,Poland,Medium,113700.0,430100.0,1.5,Limited,Medium,75.0,Not Certified,0,1,0.931,No,Yes,Clear,61,Medium,Medium,47.9,0.2564,0.5302,0.2135
VEN20105,Pinnacle Dynamics,IT Services,United States,Low,116100.0,361000.0,4.1,Limited,High,77.5,Not Certified,0,0,0.928,No,Yes,Clear,331,Medium,Medium,39.5,0.3076,0.5944,0.098
VEN20106,Trailhead Holdings,Logistics,United Kingdom,Low,53000.0,68400.0,3.6,Full,Medium,46.5,Not Certified,0,2,0.958,No,Yes,Clear,198,Medium,Medium,46.2,0.2391,0.5977,0.1632
VEN20107,Lighthouse Consulting,Cloud/SaaS,Poland,Medium,252000.0,661500.0,0.2,Limited,Medium,100.0,SOC2,1,1,0.963,Yes,Yes,Clear,312,Medium,Medium,41.7,0.292,0.5827,0.1253
VEN20108,Horizon Solutions,Consulting,India,Medium,77300.0,244300.0,0.9,Limited,Medium,74.8,SOC2,1,0,1.0,No,Yes,Clear,103,Low,Low,24.9,0.6364,0.2285,0.1351
VEN20109,Fulcrum Industries,Cloud/SaaS,India,Medium,30700.0,91600.0,5.3,Limited,Medium,75.2,Not Certified,0,0,0.892,No,Yes,Clear,267,Medium,Medium,51.7,0.2571,0.4527,0.2903
VEN20110,Fulcrum Technologies,Cloud/SaaS,China,High,211800.0,791200.0,2.7,No Access,Medium,47.9,SOC2,0,1,0.949,No,Yes,Clear,202,Medium,Medium,49.6,0.2739,0.4609,0.2653
VEN20111,Lighthouse Systems,Logistics,United States,Low,544700.0,1605700.0,1.9,No Access,Low,81.7,Both,0,1,1.0,No,Yes,Clear,29,Low,Low,3.7,0.9333,0.059,0.0077
VEN20112,Redwood Enterprises,IT Services,Canada,Low,19500.0,9800.0,2.1,Limited,Low,78.9,Not Certified,0,0,0.942,No,No,Clear,1146,Low,Low,18.2,0.7108,0.2142,0.075
VEN20113,Pinnacle Solutions,Payment Processing,India,Medium,67000.0,182600.0,5.4,Full,Low,68.2,Not Certified,0,3,0.963,No,Yes,Clear,115,Medium,Low,30.2,0.4929,0.4094,0.0977
VEN20114,Beacon Technologies,Marketing & Media,India,Medium,198200.0,324300.0,1.3,Limited,High,76.8,Both,0,0,0.854,No,Yes,Clear,406,Low,High,57.0,0.2761,0.308,0.4159
VEN20115,Horizon Global,Cloud/SaaS,Venezuela,High,145600.0,220000.0,7.7,Full,Low,91.4,Not Certified,2,2,0.998,No,Yes,Clear,53,High,High,75.2,0.1338,0.2287,0.6375
VEN20116,Lighthouse Co. 2,Financial Services,Russia,High,231400.0,201600.0,0.2,Limited,Low,68.9,ISO27001,0,0,0.992,Yes,Yes,Clear,26,Medium,Medium,42.8,0.1928,0.7581,0.0491
VEN20117,Trailhead Industries 2,IT Services,India,Medium,323600.0,395400.0,4.6,Full,High,61.1,Not Certified,0,0,0.989,No,No,Clear,256,High,High,63.7,0.2104,0.3044,0.4852
VEN20118,Horizon Partners,Facilities & Maintenance,Philippines,Medium,9500.0,18600.0,1.4,Full,Low,92.4,Not Certified,0,1,0.93,Yes,Yes,Clear,275,Medium,Medium,38.2,0.3143,0.6067,0.0789
VEN20119,Fulcrum Networks 2,Cloud/SaaS,Poland,Medium,159600.0,502100.0,3.5,Limited,Low,77.6,ISO27001,0,1,0.962,No,Yes,Clear,113,Low,Low,22.2,0.6173,0.3207,0.062
VEN20120,Beacon Labs 2,IT Services,United States,Low,11400.0,36300.0,0.4,Full,Low,71.5,ISO27001,0,1,0.936,No,Yes,Clear,564,Medium,Medium,34.1,0.3732,0.5725,0.0543
VEN20121,Meridian Consulting,IT Services,Mexico,Medium,24800.0,69400.0,2.7,Full,Low,100.0,Not Certified,0,0,0.991,No,Yes,Clear,172,Low,Low,19.6,0.6813,0.2461,0.0727
VEN20122,Apex Networks,Facilities & Maintenance,United Kingdom,Low,21100.0,68800.0,5.7,Limited,Medium,76.3,SOC2,0,1,0.94,No,Yes,Clear,603,Low,Low,15.8,0.7444,0.1951,0.0606
VEN20123,Pinnacle Logistics 2,Marketing & Media,Germany,Low,125500.0,243100.0,5.3,Full,Low,71.6,Not Certified,0,0,0.987,Yes,Yes,Clear,186,Medium,Medium,31.5,0.4095,0.5519,0.0386
VEN20124,Fulcrum Holdings,Logistics,United States,Low,10900.0,17200.0,3.3,No Access,Low,77.8,Both,1,0,0.861,Yes,Yes,Clear,90,Low,Low,14.0,0.7625,0.1957,0.0418
VEN20125,Waypoint Enterprises,Marketing & Media,United States,Low,81400.0,310000.0,1.1,No Access,Low,68.4,Not Certified,0,0,0.921,No,No,Clear,266,Low,Low,15.5,0.7397,0.2106,0.0497
VEN20126,Vertex Solutions,Logistics,South Africa,Medium,12900.0,34000.0,7.5,Full,Low,77.1,SOC2,1,0,0.771,Yes,No,Clear,53,Medium,Medium,45.2,0.1595,0.7764,0.0641
VEN20127,Trailhead Global,IT Services,Philippines,Medium,703700.0,1389200.0,1.4,No Access,High,76.1,Both,0,0,0.932,No,Yes,Clear,5,Low,Low,31.0,0.5752,0.2304,0.1945
VEN20128,Clearway Systems,Logistics,Philippines,Medium,39700.0,113900.0,2.8,No Access,Low,64.8,Not Certified,0,2,0.986,Yes,Yes,Clear,499,Medium,Medium,35.7,0.3292,0.627,0.0437
VEN20129,Cascade Systems,Manufacturing,United Kingdom,Low,71000.0,117500.0,9.2,No Access,Low,70.4,ISO27001,1,0,0.925,Yes,Yes,Clear,417,Low,Low,18.7,0.6624,0.3008,0.0368
