vendor_id,vendor_name,industry,country,region_risk,annual_spend_usd,contract_value_usd,relationship_years,data_access_level,business_criticality,financial_health_score,security_certification,compliance_incidents_3yr,sla_breach_count_1yr,on_time_delivery_rate,subcontractor_use,insurance_adequate,sanctions_screening,last_assessment_days_ago,risk_tier
VEN20027,Clearway Solutions,Staffing,United Kingdom,Low,97300.0,111900.0,2.9,Limited,Low,100.0,SOC2,1,3,1.0,No,Yes,Clear,951,Medium
VEN20028,Waypoint Holdings,Payment Processing,United States,Low,374200.0,1194100.0,1.1,Limited,High,52.7,Not Certified,0,1,0.882,No,Yes,Clear,29,Medium
VEN20029,Outpost Labs,IT Services,Germany,Low,74500.0,85100.0,0.4,No Access,Medium,61.8,SOC2,0,0,1.0,Yes,No,Clear,12,Low
VEN20030,Meridian Dynamics,Financial Services,China,High,334400.0,566500.0,2.7,Limited,Low,73.5,ISO27001,0,0,1.0,Yes,Yes,Clear,10,Medium
VEN20031,Vantage Group,Logistics,United States,Low,192000.0,333400.0,1.7,Full,Low,91.2,SOC2,0,0,0.852,Yes,Yes,Clear,14,Low
VEN20032,Sterling Logistics,IT Services,United Kingdom,Low,183100.0,316500.0,0.4,No Access,High,68.8,Not Certified,0,0,1.0,No,Yes,Clear,35,Low
VEN20033,Outpost Partners,Payment Processing,China,High,32800.0,88300.0,8.2,No Access,Low,52.2,ISO27001,0,1,0.852,No,No,Clear,119,Medium
VEN20034,Fulcrum Networks,Manufacturing,Germany,Low,33700.0,49200.0,3.8,No Access,Low,88.2,Both,0,1,0.98,No,Yes,Clear,51,Low
VEN20035,Vantage Partners 2,Cloud/SaaS,South Africa,Medium,32800.0,77800.0,1.0,Limited,High,59.3,ISO27001,0,1,0.872,Yes,Yes,Clear,63,High
VEN20036,Horizon Dynamics,Marketing & Media,United States,Low,265000.0,831900.0,0.9,Limited,Low,69.4,Not Certified,2,1,0.834,No,Yes,Clear,147,Medium
VEN20037,Meridian Industries 2,Cloud/SaaS,China,High,297600.0,934600.0,0.2,Full,High,84.5,Not Certified,1,2,0.991,Yes,Yes,Clear,139,High
VEN20038,Redwood Partners 2,Payment Processing,Canada,Low,21500.0,72000.0,10.8,No Access,Medium,62.8,SOC2,1,1,0.965,No,Yes,Clear,253,Low
VEN20039,Beacon Labs,Cloud/SaaS,Canada,Low,16200.0,31500.0,2.0,No Access,Medium,65.9,SOC2,1,0,0.935,Yes,Yes,Clear,66,Low
VEN20040,Clearway Group,IT Services,Philippines,Medium,81900.0,70300.0,11.3,Full,Low,79.0,Not Certified,0,0,0.951,No,Yes,Clear,5,Low
VEN20041,Trailhead Dynamics,Cloud/SaaS,Venezuela,High,318400.0,766300.0,2.7,No Access,Medium,69.3,Not Certified,0,0,0.934,No,Yes,Clear,183,Low
VEN20042,Vantage Systems,Logistics,Russia,High,96800.0,236000.0,1.3,No Access,High,76.2,SOC2,0,1,0.925,No,Yes,Clear,22,High
VEN20043,Keystone Global,Financial Services,Philippines,Medium,146800.0,365300.0,2.9,Limited,Low,58.9,SOC2,0,1,0.877,Yes,Yes,Clear,36,Medium
VEN20044,Summit Solutions,Payment Processing,China,High,123500.0,239300.0,1.7,No Access,Low,70.5,Both,0,0,0.975,No,Yes,Clear,12,Low
VEN20045,Clearway Logistics,Marketing & Media,Venezuela,High,137500.0,361000.0,6.7,No Access,Low,56.8,ISO27001,1,0,0.941,No,Yes,Clear,331,High
VEN20046,Waypoint Systems,Logistics,India,Medium,60800.0,86200.0,1.7,Limited,Low,50.3,SOC2,0,0,0.926,No,Yes,Clear,672,Medium
VEN20047,Meridian Co.,IT Services,United States,Low,123000.0,359300.0,2.0,Limited,Low,96.7,Not Certified,0,0,0.906,No,Yes,Clear,344,Low
VEN20048,Silverline Consulting,Cloud/SaaS,South Africa,Medium,155500.0,575200.0,6.7,Limited,High,78.5,Not Certified,0,0,0.923,Yes,Yes,Clear,327,High
VEN20049,Sterling Dynamics,Consulting,Germany,Low,62600.0,148300.0,3.8,Limited,Low,84.9,ISO27001,0,1,0.85,No,Yes,Clear,440,Low
VEN20050,Apex Labs,Financial Services,United Kingdom,Low,485800.0,1119200.0,5.1,Limited,Low,58.5,SOC2,1,1,0.922,No,Yes,Clear,32,Low
VEN20051,Momentum Group,Marketing & Media,India,Medium,21000.0,58400.0,3.6,No Access,Low,71.7,ISO27001,0,2,0.882,No,Yes,Clear,1098,Medium
VEN20052,Cascade Networks,IT Services,United States,Low,45600.0,123600.0,4.1,Limited,Low,69.2,Not Certified,0,1,1.0,No,Yes,Clear,9,Low
VEN20053,Horizon Logistics,IT Services,United States,Low,27000.0,73600.0,1.4,Limited,Medium,52.2,Both,0,0,0.883,No,Yes,Clear,130,Low
VEN20054,Horizon Technologies,Payment Processing,United Kingdom,Low,240700.0,584600.0,6.0,No Access,Medium,79.7,SOC2,1,1,0.913,No,Yes,Clear,91,Low
VEN20055,Meridian Group,Facilities & Maintenance,India,Medium,246100.0,500800.0,1.6,Limited,Low,62.0,SOC2,0,1,0.941,Yes,Yes,Clear,214,Low
VEN20056,Sterling Labs,Logistics,Philippines,Medium,30100.0,106700.0,0.8,No Access,Medium,69.2,ISO27001,0,0,0.987,No,Yes,Clear,35,Low
VEN20057,Horizon Logistics 2,Logistics,Nigeria,High,77300.0,99600.0,1.4,Full,Medium,50.8,ISO27001,0,0,0.967,No,Yes,Clear,522,High
VEN20058,Nova Partners,IT Services,Brazil,Medium,42300.0,134500.0,3.5,No Access,Low,86.0,ISO27001,0,0,0.941,Yes,Yes,Clear,190,Low
VEN20059,Trailhead Solutions,Cloud/SaaS,Nigeria,High,14900.0,23300.0,0.4,No Access,High,82.7,Not Certified,0,0,1.0,No,Yes,Clear,207,Medium
VEN20060,Bridgeline Labs,IT Services,Mexico,Medium,28100.0,74500.0,0.7,Full,Medium,77.6,Not Certified,1,2,0.939,No,Yes,Clear,70,High
VEN20061,Keystone Enterprises,Payment Processing,Philippines,Medium,103400.0,153800.0,7.0,Full,Low,59.3,SOC2,2,1,0.959,No,Yes,Clear,233,Medium
VEN20062,Apex Group,Financial Services,India,Medium,135000.0,135500.0,0.4,Full,High,64.5,ISO27001,0,2,1.0,No,Yes,Clear,551,High
VEN20063,Fulcrum Systems,IT Services,United States,Low,30700.0,43600.0,6.7,Limited,Medium,89.2,ISO27001,0,1,0.887,No,Yes,Clear,393,Low
VEN20064,Outpost Global,Staffing,United States,Low,70600.0,103800.0,1.6,Limited,Low,68.2,SOC2,0,2,0.997,No,Yes,Clear,357,Low
VEN20065,Outpost Consulting,Cloud/SaaS,Philippines,Medium,181500.0,607200.0,1.9,Limited,Low,75.8,ISO27001,0,0,0.966,Yes,Yes,Clear,164,Low
VEN20066,Momentum Global,IT Services,Canada,Low,343100.0,606400.0,13.4,Limited,Low,74.0,ISO27001,0,1,0.862,No,Yes,Clear,358,Low
VEN20067,Fulcrum Labs,Facilities & Maintenance,Brazil,Medium,105500.0,177800.0,2.4,Limited,Low,56.4,ISO27001,0,1,0.903,No,Yes,Clear,620,High
VEN20068,Vertex Dynamics,Payment Processing,Australia,Low,28000.0,40900.0,0.8,Full,Low,93.4,Both,0,0,0.99,Yes,Yes,Clear,281,Low
VEN20069,Anchor Holdings,IT Services,United States,Low,11700.0,26100.0,0.5,No Access,Low,44.3,SOC2,0,1,0.854,Yes,Yes,Clear,24,Low
VEN20070,Beacon Consulting,Staffing,India,Medium,76600.0,171200.0,6.5,Full,High,,ISO27001,0,0,0.929,No,Yes,Clear,150,Medium
VEN20071,Trailhead Labs,Cloud/SaaS,Japan,Low,49800.0,134900.0,2.3,No Access,Medium,70.8,Both,0,1,0.996,No,Yes,Clear,391,Low
VEN20072,Zenith Group,IT Services,United States,Low,36500.0,61600.0,1.3,No Access,Low,49.4,Not Certified,0,0,0.926,Yes,Yes,Clear,87,Low
VEN20073,Beacon Global,IT Services,United Kingdom,Low,32300.0,41100.0,11.0,Full,Low,76.7,Both,0,0,0.956,No,No,Clear,364,Low
VEN20074,Apex Logistics,Logistics,United Kingdom,Low,37400.0,82200.0,0.2,No Access,Low,79.3,SOC2,1,0,0.9,No,Yes,Clear,43,Low
VEN20075,Summit Systems 2,Staffing,Germany,Low,84800.0,250800.0,4.6,Limited,Low,72.8,ISO27001,0,2,0.903,No,Yes,Flagged,408,Medium
VEN20076,Silverline Enterprises,Financial Services,Poland,Medium,153800.0,439300.0,0.7,Full,Medium,60.5,Not Certified,0,0,0.903,No,Yes,Clear,104,High
VEN20077,Trailhead Enterprises,Payment Processing,United States,Low,28000.0,40500.0,4.0,Limited,Medium,78.4,Not Certified,2,2,0.919,No,Yes,Clear,49,Medium
VEN20078,Silverline Group,Cloud/SaaS,Japan,Low,594800.0,1097600.0,0.3,Limited,High,87.7,Not Certified,0,1,0.978,No,Yes,Clear,68,Medium
VEN20079,Atlas Dynamics,Logistics,Mexico,Medium,360600.0,908800.0,2.9,Limited,Low,75.2,ISO27001,0,1,0.945,No,Yes,Clear,73,Low
VEN20080,Zenith Labs,Cloud/SaaS,Nigeria,High,53800.0,95700.0,0.2,Full,Medium,96.2,Not Certified,0,0,1.0,No,Yes,Clear,109,Medium
VEN20081,Crestview Technologies,Consulting,United States,Low,101400.0,112600.0,4.2,Full,Medium,84.1,SOC2,0,1,0.973,Yes,No,Clear,294,Low
VEN20082,Lighthouse Technologies,Consulting,United States,Low,403200.0,970600.0,0.4,No Access,Low,82.8,ISO27001,0,3,0.957,Yes,Yes,Clear,239,Low
VEN20083,Nova Technologies,Logistics,Canada,Low,25200.0,49400.0,3.8,No Access,Medium,91.5,Not Certified,0,1,1.0,No,No,Clear,18,Low
VEN20084,Union Enterprises,Manufacturing,Canada,Low,35400.0,88100.0,1.9,No Access,Low,62.8,Not Certified,1,0,0.933,No,Yes,Clear,151,Low
VEN20085,Nova Holdings,Logistics,United States,Low,35700.0,104900.0,0.3,No Access,Low,64.8,Both,0,0,0.892,No,Yes,Clear,59,Low
VEN20086,Redwood Global,Staffing,United States,Low,22600.0,41800.0,11.4,Full,Low,79.3,Not Certified,0,0,0.949,No,Yes,Clear,114,Low
VEN20087,Summit Industries,IT Services,Canada,Low,161700.0,214800.0,3.5,Full,High,79.3,SOC2,1,1,0.875,Yes,Yes,Clear,553,High
VEN20088,Pinnacle Partners,IT Services,Canada,Low,55900.0,91300.0,4.7,No Access,Low,93.2,SOC2,0,0,0.971,No,Yes,Clear,70,Low
VEN20089,Redwood Solutions,Manufacturing,Australia,Low,80300.0,231200.0,4.8,No Access,High,88.1,Both,0,0,1.0,No,Yes,Clear,38,Low
VEN20090,Beacon Consulting 2,Cloud/SaaS,Mexico,Medium,78800.0,183700.0,8.1,No Access,Low,74.5,ISO27001,0,0,0.978,No,Yes,Flagged,294,Medium
VEN20091,Keystone Technologies,Payment Processing,Germany,Low,57200.0,164800.0,1.0,Limited,Low,75.2,SOC2,0,2,0.916,No,No,Clear,269,Medium
VEN20092,Vertex Labs,Staffing,United States,Low,403300.0,795000.0,7.4,Full,High,68.3,Not Certified,0,1,0.931,No,No,Clear,475,Medium
VEN20093,Keystone Dynamics,Facilities & Maintenance,United States,Low,59500.0,169700.0,1.3,Limited,Medium,67.0,Both,2,2,0.969,Yes,Yes,Clear,298,Medium
VEN20094,Sterling Group,Marketing & Media,United Kingdom,Low,27100.0,50500.0,4.5,Limited,Low,65.8,SOC2,0,0,1.0,Yes,Yes,Clear,132,Low
VEN20095,Waypoint Systems 2,Marketing & Media,Canada,Low,15000.0,26000.0,0.4,Full,High,84.8,Both,1,0,0.916,No,No,Clear,288,Medium
VEN20096,Nova Technologies 2,Staffing,Australia,Low,33200.0,74700.0,0.2,Full,Medium,65.6,ISO27001,0,0,0.915,No,Yes,Clear,41,Low
VEN20097,Vertex Enterprises,Consulting,South Africa,Medium,89000.0,191800.0,0.5,No Access,Low,67.2,SOC2,0,2,1.0,No,Yes,Clear,56,Low
VEN20098,Sterling Systems,Cloud/SaaS,Philippines,Medium,87500.0,180400.0,0.9,Limited,Medium,74.4,Both,0,1,0.953,Yes,Yes,Clear,16,Low
VEN20099,Crestview Holdings,Facilities & Maintenance,Canada,Low,99800.0,229300.0,5.3,Full,Medium,65.0,ISO27001,1,0,0.961,Yes,Yes,Clear,455,Medium
VEN20100,Nova Industries,Cloud/SaaS,United States,Low,44800.0,135700.0,3.1,Full,Low,69.0,SOC2,2,0,0.969,No,Yes,Clear,78,Low
VEN20101,Momentum Co.,Manufacturing,United States,Low,118600.0,203000.0,0.2,Limited,Medium,41.7,ISO27001,1,0,0.894,No,Yes,Clear,78,Low
VEN20102,Momentum Technologies,Staffing,Japan,Low,121200.0,101500.0,16.3,No Access,High,77.5,Not Certified,1,0,0.931,No,Yes,Clear,57,Low
VEN20103,Vantage Co.,Payment Processing,Germany,Low,18400.0,47700.0,4.0,Limited,Medium,68.0,SOC2,1,0,1.0,No,Yes,Clear,62,Low
VEN20104,Keystone Labs,Staffing,Poland,Medium,113700.0,430100.0,1.5,Limited,Medium,75.0,Not Certified,0,1,0.931,No,Yes,Clear,61,Medium
VEN20105,Pinnacle Dynamics,IT Services,United States,Low,116100.0,361000.0,4.1,Limited,High,77.5,Not Certified,0,0,0.928,No,Yes,Clear,331,Medium
VEN20106,Trailhead Holdings,Logistics,United Kingdom,Low,53000.0,68400.0,3.6,Full,Medium,46.5,Not Certified,0,2,0.958,No,Yes,Clear,198,Medium
VEN20107,Lighthouse Consulting,Cloud/SaaS,Poland,Medium,252000.0,661500.0,0.2,Limited,Medium,100.0,SOC2,1,1,0.963,Yes,Yes,Clear,312,Medium
VEN20108,Horizon Solutions,Consulting,India,Medium,77300.0,244300.0,0.9,Limited,Medium,74.8,SOC2,1,0,1.0,No,Yes,Clear,103,Low
VEN20109,Fulcrum Industries,Cloud/SaaS,India,Medium,30700.0,91600.0,5.3,Limited,Medium,75.2,Not Certified,0,0,0.892,No,Yes,Clear,267,Medium
VEN20110,Fulcrum Technologies,Cloud/SaaS,China,High,211800.0,791200.0,2.7,No Access,Medium,47.9,SOC2,0,1,0.949,No,Yes,Clear,202,Medium
VEN20111,Lighthouse Systems,Logistics,United States,Low,544700.0,1605700.0,1.9,No Access,Low,81.7,Both,0,1,1.0,No,Yes,Clear,29,Low
VEN20112,Redwood Enterprises,IT Services,Canada,Low,19500.0,9800.0,2.1,Limited,Low,78.9,Not Certified,0,0,0.942,No,No,Clear,1146,Low
VEN20113,Pinnacle Solutions,Payment Processing,India,Medium,67000.0,182600.0,5.4,Full,Low,68.2,Not Certified,0,3,0.963,No,Yes,Clear,115,Medium
VEN20114,Beacon Technologies,Marketing & Media,India,Medium,198200.0,324300.0,1.3,Limited,High,76.8,Both,0,0,0.854,No,Yes,Clear,406,Low
VEN20115,Horizon Global,Cloud/SaaS,Venezuela,High,145600.0,220000.0,7.7,Full,Low,91.4,Not Certified,2,2,0.998,No,Yes,Clear,53,High
VEN20116,Lighthouse Co. 2,Financial Services,Russia,High,231400.0,201600.0,0.2,Limited,Low,68.9,ISO27001,0,0,0.992,Yes,Yes,Clear,26,Medium
VEN20117,Trailhead Industries 2,IT Services,India,Medium,323600.0,395400.0,4.6,Full,High,61.1,Not Certified,0,0,0.989,No,No,Clear,256,High
VEN20118,Horizon Partners,Facilities & Maintenance,Philippines,Medium,9500.0,18600.0,1.4,Full,Low,92.4,Not Certified,0,1,0.93,Yes,Yes,Clear,275,Medium
VEN20119,Fulcrum Networks 2,Cloud/SaaS,Poland,Medium,159600.0,502100.0,3.5,Limited,Low,77.6,ISO27001,0,1,0.962,No,Yes,Clear,113,Low
VEN20120,Beacon Labs 2,IT Services,United States,Low,11400.0,36300.0,0.4,Full,Low,71.5,ISO27001,0,1,0.936,No,Yes,Clear,564,Medium
VEN20121,Meridian Consulting,IT Services,Mexico,Medium,24800.0,69400.0,2.7,Full,Low,100.0,Not Certified,0,0,0.991,No,Yes,Clear,172,Low
VEN20122,Apex Networks,Facilities & Maintenance,United Kingdom,Low,21100.0,68800.0,5.7,Limited,Medium,76.3,SOC2,0,1,0.94,No,Yes,Clear,603,Low
VEN20123,Pinnacle Logistics 2,Marketing & Media,Germany,Low,125500.0,243100.0,5.3,Full,Low,71.6,Not Certified,0,0,0.987,Yes,Yes,Clear,186,Medium
VEN20124,Fulcrum Holdings,Logistics,United States,Low,10900.0,17200.0,3.3,No Access,Low,77.8,Both,1,0,0.861,Yes,Yes,Clear,90,Low
VEN20125,Waypoint Enterprises,Marketing & Media,United States,Low,81400.0,310000.0,1.1,No Access,Low,68.4,Not Certified,0,0,0.921,No,No,Clear,266,Low
VEN20126,Vertex Solutions,Logistics,South Africa,Medium,12900.0,34000.0,7.5,Full,Low,77.1,SOC2,1,0,0.771,Yes,No,Clear,53,Medium
VEN20127,Trailhead Global,IT Services,Philippines,Medium,703700.0,1389200.0,1.4,No Access,High,76.1,Both,0,0,0.932,No,Yes,Clear,5,Low
VEN20128,Clearway Systems,Logistics,Philippines,Medium,39700.0,113900.0,2.8,No Access,Low,64.8,Not Certified,0,2,0.986,Yes,Yes,Clear,499,Medium
VEN20129,Cascade Systems,Manufacturing,United Kingdom,Low,71000.0,117500.0,9.2,No Access,Low,70.4,ISO27001,1,0,0.925,Yes,Yes,Clear,417,Low
VEN20130,Union Systems,Consulting,Ireland,Low,18900.0,67000.0,1.2,Limited,Medium,78.3,SOC2,0,2,1.0,Yes,Yes,Clear,243,Low
VEN20131,Nova Systems,IT Services,Canada,Low,37500.0,45000.0,3.0,No Access,Low,79.3,Both,2,0,0.881,Yes,Yes,Flagged,198,High
VEN20132,Trailhead Enterprises 2,IT Services,Mexico,Medium,323200.0,589300.0,0.8,Full,Medium,82.1,Both,1,1,0.92,No,Yes,Clear,224,Low
VEN20133,Atlas Co.,Facilities & Maintenance,Brazil,Medium,95800.0,202300.0,7.3,No Access,Low,84.9,SOC2,1,2,0.885,No,Yes,Clear,44,Low
VEN20134,Union Dynamics,Consulting,Philippines,Medium,19200.0,40300.0,2.0,Limited,Medium,77.4,SOC2,0,0,0.91,No,Yes,Clear,78,Medium
VEN20135,Beacon Co.,Payment Processing,China,High,40700.0,50700.0,7.7,Full,Low,81.1,ISO27001,0,1,0.912,Yes,Yes,Clear,20,Medium
VEN20136,Beacon Partners,Marketing & Media,United Kingdom,Low,60300.0,178600.0,1.1,Limited,Medium,68.5,ISO27001,0,0,0.853,Yes,Yes,Clear,7,Medium
VEN20137,Anchor Co.,IT Services,Poland,Medium,534700.0,1480700.0,6.5,Limited,Low,,SOC2,0,2,0.882,Yes,No,Clear,76,Medium
VEN20138,Clearway Systems 2,Staffing,United States,Low,63200.0,146100.0,7.7,Limited,Low,88.3,Both,0,1,1.0,Yes,No,Clear,146,Low
VEN20139,Outpost Systems,Marketing & Media,India,Medium,119000.0,325400.0,4.9,Full,Medium,46.1,SOC2,0,1,0.925,No,Yes,Clear,83,Medium
VEN20140,Ironwood Logistics,Cloud/SaaS,United States,Low,240900.0,455100.0,4.5,Limited,High,78.9,Not Certified,1,1,0.995,No,No,Clear,36,High
VEN20141,Crestview Holdings 2,Financial Services,India,Medium,1100500.0,3360600.0,0.7,No Access,High,100.0,SOC2,1,0,0.865,Yes,Yes,Clear,647,Medium
VEN20142,Meridian Enterprises,IT Services,India,Medium,151500.0,272900.0,0.8,No Access,High,47.7,SOC2,0,2,0.933,Yes,Yes,Clear,174,High
VEN20143,Summit Dynamics,Staffing,Germany,Low,21300.0,29800.0,3.9,Full,Medium,94.6,SOC2,0,1,0.972,No,Yes,Clear,286,Low
VEN20144,Union Partners,Marketing & Media,Germany,Low,23300.0,49500.0,3.8,Limited,Medium,48.9,SOC2,0,0,0.93,Yes,Yes,Clear,144,Low
VEN20145,Momentum Labs,Staffing,Poland,Medium,507100.0,1069200.0,0.6,No Access,Medium,78.5,SOC2,0,0,0.91,No,Yes,Clear,189,Low
VEN20146,Beacon Industries,Staffing,Australia,Low,115400.0,295000.0,0.7,Limited,Medium,96.1,Both,1,1,0.929,No,Yes,Clear,792,Low
VEN20147,Keystone Co.,Logistics,Ireland,Low,8000.0,22600.0,2.5,Limited,High,94.1,Both,0,2,0.942,No,Yes,Flagged,913,High
VEN20148,Meridian Industries 3,Staffing,United States,Low,40300.0,147000.0,5.3,No Access,Low,60.5,Not Certified,0,0,0.99,No,Yes,Clear,145,Low
VEN20149,Anchor Holdings 2,Cloud/SaaS,United Kingdom,Low,42800.0,51000.0,2.2,Full,Low,54.9,SOC2,1,3,1.0,No,Yes,Clear,46,Medium
VEN20150,Fulcrum Global,IT Services,South Africa,Medium,48900.0,47800.0,1.4,No Access,Medium,52.9,SOC2,0,1,0.862,No,Yes,Clear,152,Medium
VEN20151,Northgate Enterprises,Manufacturing,Russia,High,150900.0,378100.0,9.7,No Access,Low,83.0,Not Certified,1,0,0.818,No,Yes,Clear,79,Medium
VEN20152,Vantage Solutions,Financial Services,Germany,Low,155900.0,520800.0,15.1,No Access,Low,67.5,Not Certified,0,1,0.929,No,Yes,Clear,59,Low
VEN20153,Horizon Co.,Logistics,South Africa,Medium,334700.0,1043800.0,1.7,No Access,High,,SOC2,0,0,0.94,Yes,No,Clear,42,High
VEN20154,Silverline Global,Facilities & Maintenance,China,High,8300.0,18300.0,6.6,Full,Low,76.5,SOC2,0,0,0.983,No,Yes,Clear,188,High
VEN20155,Outpost Group,Facilities & Maintenance,Canada,Low,101300.0,212100.0,2.7,Limited,High,78.6,Not Certified,0,0,1.0,Yes,Yes,Clear,55,Medium
VEN20156,Union Enterprises 2,Cloud/SaaS,United Kingdom,Low,57300.0,117700.0,1.6,No Access,High,80.3,SOC2,1,1,0.901,No,Yes,Clear,9,Low
VEN20157,Brightline Dynamics,Facilities & Maintenance,Poland,Medium,21400.0,79800.0,2.4,Limited,Low,74.5,SOC2,1,0,1.0,No,Yes,Clear,54,Low
VEN20158,Keystone Logistics,Logistics,United Kingdom,Low,189700.0,403300.0,4.9,No Access,Medium,50.2,Both,0,0,0.956,No,Yes,Clear,10,Low
VEN20159,Momentum Holdings,Staffing,Nigeria,High,15800.0,40400.0,4.5,Limited,Low,93.1,Both,0,1,0.835,No,No,Clear,420,High
VEN20160,Fulcrum Logistics,Logistics,Germany,Low,14800.0,19300.0,2.8,Full,Low,34.2,ISO27001,0,0,0.997,Yes,Yes,Clear,191,Low
VEN20161,Momentum Technologies 2,Staffing,Philippines,Medium,462400.0,1407900.0,1.6,No Access,High,90.0,SOC2,1,0,0.957,No,Yes,Clear,1400,High
VEN20162,Pinnacle Consulting,Manufacturing,Poland,Medium,115900.0,254300.0,3.1,Limited,High,64.2,Not Certified,0,1,0.957,Yes,Yes,Clear,72,High
VEN20163,Brightline Dynamics 2,Facilities & Maintenance,Canada,Low,186100.0,388700.0,2.0,No Access,Medium,69.9,ISO27001,0,0,0.845,No,Yes,Clear,623,Low
VEN20164,Beacon Partners 2,Marketing & Media,South Africa,Medium,327100.0,674300.0,11.5,No Access,Low,65.3,Both,0,1,0.922,Yes,Yes,Clear,115,Low
